City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
99,alekseyevka,50.6309,38.6903,-1.75,95,100,6.02,RU,"02/14/23,23:24:53"
100,gazalkent,41.5581,69.7708,1.81,99,100,0.32,UZ,"02/14/23,23:24:53"
101,chico,39.7285,-121.8375,11.94,34,0,8.75,US,"02/14/23,23:24:04"
102,college,64.8569,-147.8028,-12.18,77,75,2.57,US,"02/14/23,23:24:54"
103,provideniya,64.3833,-173.3,-23.69,64,100,3.13,RU,"02/14/23,23:24:55"
104,victoria,22.2855,114.1577,14.07,67,86,4.92,HK,"02/14/23,23:23:29"
105,ribeira grande,38.5167,-28.7,14.87,76,64,4.92,PT,"02/14/23,23:24:55"
106,chapais,49.7834,-74.8492,-3.12,88,99,4.91,CA,"02/14/23,23:24:56"
107,poum,-20.2333,164.0167,26.24,62,32,1.74,NC,"02/14/23,23:21:29"
108,sabha,27.0377,14.4283,9.1,55,14,4.85,LY,"02/14/23,23:24:56"
109,luba,3.4568,8.5547,23.94,80,18,3.75,GQ,"02/14/23,23:24:57"
110,tual,-5.6667,132.75,28.08,80,100,7.59,ID,"02/14/23,23:24:57"
111,miyako,39.6367,141.9525,-3.05,71,75,6.0,JP,"02/14/23,23:24:58"
112,port blair,11.6667,92.75,20.02,94,7,0.0,IN,"02/14/23,23:24:58"
113,zhigansk,66.7697,123.3711,-41.01,100,68,2.09,RU,"02/14/23,23:24:59"
114,mariental,-24.6333,17.9667,27.47,16,33,7.3,NA,"02/14/23,23:24:59"
115,sanmenxia,34.7747,111.1814,0.74,82,31,2.9,CN,"02/14/23,23:25:00"
116,fort dodge,42.4975,-94.168,7.79,100,100,5.66,US,"02/14/23,23:25:00"
117,semirara,12.0697,121.3986,25.57,78,95,13.28,PH,"02/14/23,23:25:01"
118,geraldton,-28.7667,114.6,22.23,60,100,3.09,AU,"02/14/23,23:25:01"
119,nyurba,63.2842,118.3319,-33.3,100,95,0.38,RU,"02/14/23,23:25:02"
120,ust-nera,64.5667,143.2,-42.47,97,79,0.81,RU,"02/14/23,23:25:02"
121,la macarena,2.1837,-73.7849,29.35,52,77,1.19,CO,"02/14/23,23:25:03"
122,la ronge,55.1001,-105.2842,-16.86,51,40,4.12,CA,"02/14/23,23:25:04"
123,pangai,-19.8,-174.35,26.06,89,100,4.12,TO,"02/14/23,23:25:05"
124,yar-sale,66.8333,70.8333,-20.31,100,96,3.63,RU,"02/14/23,23:25:06"
125,vila velha,-20.3297,-40.2925,26.97,86,20,7.2,BR,"02/14/23,23:25:06"
126,amapa,1.0,-52.0,22.21,99,100,1.33,BR,"02/14/23,23:23:13"
127,hearst,49.6835,-83.6665,6.14,99,93,3.0,CA,"02/14/23,23:25:07"
128,ancud,-41.8697,-73.8203,14.03,94,100,5.3,CL,"02/14/23,23:25:08"
129,pag,44.445,15.0575,0.32,69,0,6.65,HR,"02/14/23,23:21:25"
130,kamenka,51.3223,42.7678,-9.55,97,95,3.63,RU,"02/14/23,23:25:09"
131,sept-iles,50.2001,-66.3821,-6.0,82,20,2.57,CA,"02/14/23,23:25:10"
132,zhigalovo,54.8097,105.1578,-23.45,100,100,0.68,RU,"02/14/23,23:25:10"
133,kuloy,61.0305,42.4925,-7.03,94,100,3.67,RU,"02/14/23,23:25:11"
134,mandalgovi,45.7625,106.2708,-11.55,64,18,1.48,MN,"02/14/23,23:25:12"
135,mount isa,-20.7333,139.5,30.87,20,100,5.14,AU,"02/14/23,23:25:12"
136,cristalina,-16.7686,-47.6136,20.9,72,73,1.62,BR,"02/14/23,23:25:13"
137,pangnirtung,66.1451,-65.7125,-26.0,64,100,0.0,CA,"02/14/23,23:25:14"
138,clyde river,70.4692,-68.5914,-37.87,67,40,2.57,CA,"02/14/23,23:25:14"
139,mar del plata,-38.0023,-57.5575,18.38,56,0,3.09,AR,"02/14/23,23:24:31"
140,broome,42.2506,-75.833,7.21,52,0,1.54,US,"02/14/23,23:25:15"
141,nawa,27.0167,75.0,17.71,18,21,2.65,IN,"02/14/23,23:20:54"
142,neuquen,-38.9516,-68.0591,24.94,31,0,5.66,AR,"02/14/23,23:25:16"
143,northam,51.0333,-4.2167,8.55,79,63,4.31,GB,"02/14/23,23:25:17"
144,tuktoyaktuk,69.4541,-133.0374,-28.0,76,75,1.54,CA,"02/14/23,23:25:18"
145,lithgow,-33.4833,150.15,17.16,68,85,2.5,AU,"02/14/23,23:25:18"
146,juneau,58.3019,-134.4197,1.79,87,100,4.12,US,"02/14/23,23:25:20"
147,kosum phisai,16.2486,103.0674,23.24,64,90,6.02,TH,"02/14/23,23:25:20"
148,kamaishi,39.2667,141.8833,-2.71,66,42,6.16,JP,"02/14/23,23:25:21"
149,mastic beach,40.7668,-72.8521,8.76,63,0,3.13,US,"02/14/23,23:25:22"
150,ostrovnoy,68.0531,39.5131,-9.36,90,93,4.53,RU,"02/14/23,23:25:22"
151,zurrieq,35.8311,14.4742,10.73,82,20,3.6,MT,"02/14/23,23:25:23"
152,tiznit,29.5833,-9.5,10.77,70,94,4.05,MA,"02/14/23,23:25:24"
153,bara,10.3744,10.7288,21.46,26,19,4.63,NG,"02/14/23,23:15:44"
154,norman wells,65.282,-126.8329,-24.98,70,0,1.54,CA,"02/14/23,23:24:19"
155,salisbury,51.0693,-1.7957,6.65,87,87,5.14,GB,"02/14/23,23:25:25"
156,abha,18.2164,42.5053,15.14,17,0,7.2,SA,"02/14/23,23:24:38"
157,honiara,-9.4333,159.95,28.28,78,98,1.6,SB,"02/14/23,23:25:26"
158,alanya,36.5438,31.9998,5.07,38,29,2.4,TR,"02/14/23,23:20:33"
159,goundam,16.4145,-3.6708,25.7,18,33,4.78,ML,"02/14/23,23:25:26"
160,tilichiki,60.4667,166.1,-20.73,92,77,3.88,RU,"02/14/23,23:25:27"
161,longyearbyen,78.2186,15.6401,0.91,86,75,9.77,SJ,"02/14/23,23:25:28"
162,shahr-e kord,32.3256,50.8644,3.87,87,100,5.14,IR,"02/14/23,23:25:29"
163,berlevag,70.8578,29.0864,6.0,87,100,7.72,NO,"02/14/23,23:25:29"
164,vulcan,45.3833,23.2667,-3.99,92,15,2.24,RO,"02/14/23,23:25:30"
165,faranah,10.0404,-10.7434,27.08,36,82,0.37,GN,"02/14/23,23:25:30"
166,shirdi,19.7667,74.4833,18.49,19,3,2.39,IN,"02/14/23,23:25:31"
167,karratha,-20.7377,116.8463,30.27,63,78,5.65,AU,"02/14/23,23:25:32"
168,alyangula,-13.8483,136.4192,28.45,75,70,7.76,AU,"02/14/23,23:25:33"
169,bambous virieux,-20.3428,57.7575,25.14,83,40,2.06,MU,"02/14/23,23:25:33"
170,hasaki,35.7333,140.8333,1.27,49,80,11.11,JP,"02/14/23,23:25:34"
171,mitu,1.1983,-70.1733,25.2,84,97,1.19,CO,"02/14/23,23:25:35"
172,bethel,41.3712,-73.414,9.25,42,0,1.54,US,"02/14/23,23:25:36"
173,souillac,-20.5167,57.5167,25.21,83,40,2.06,MU,"02/14/23,23:25:36"
174,moranbah,-22.0016,148.0466,27.43,55,100,4.79,AU,"02/14/23,23:25:37"
175,lorengau,-2.0226,147.2712,27.59,76,100,0.45,PG,"02/14/23,23:25:37"
176,media luna,20.1419,-77.435,25.71,70,47,1.28,CU,"02/14/23,23:25:38"
177,yuci,37.6803,112.7319,-7.14,86,0,1.0,CN,"02/14/23,23:25:39"
178,raymondville,26.4815,-97.7831,32.0,25,26,4.09,US,"02/14/23,23:25:39"
179,ponta do sol,32.6667,-17.1,14.84,68,13,6.17,PT,"02/14/23,23:25:40"
180,castro,-24.7911,-50.0119,19.47,95,79,2.31,BR,"02/14/23,23:25:40"
181,juquia,-24.3208,-47.6347,25.82,85,75,1.0,BR,"02/14/23,23:25:41"
182,bahia blanca,-38.7196,-62.2724,21.83,20,0,1.8,AR,"02/14/23,23:22:51"
183,bredasdorp,-34.5322,20.0403,20.96,78,98,3.48,ZA,"02/14/23,23:25:42"
184,nome,64.5011,-165.4064,-21.61,70,0,6.17,US,"02/14/23,23:21:25"
185,rawson,-43.3002,-65.1023,20.99,29,72,5.69,AR,"02/14/23,23:25:42"
