City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,eidfjord,60.4675,7.0719,5.73,98,100,4.23,NO,"02/13/23,04:24:35"
178,tahe,52.3333,124.7333,-9.82,61,99,4.95,CN,"02/13/23,04:24:35"
179,ziro,27.6333,93.8333,7.41,92,96,0.87,IN,"02/13/23,04:24:36"
180,ginda,30.6945,78.4932,13.61,19,0,1.51,IN,"02/13/23,04:24:36"
181,muros,42.7762,-9.0603,10.93,78,100,3.69,ES,"02/13/23,04:24:37"
182,airai,-8.9266,125.4092,21.2,71,100,2.41,TL,"02/13/23,04:24:37"
183,sao filipe,14.8961,-24.4956,21.01,80,92,4.99,CV,"02/13/23,04:24:37"
184,kodra,50.5949,29.5587,-4.81,90,55,3.87,UA,"02/13/23,04:24:38"
185,bud,39.447,-86.1758,4.97,47,0,3.12,US,"02/13/23,04:24:38"
186,fortuna,40.5982,-124.1573,7.59,94,0,0.0,US,"02/13/23,04:24:39"
187,tucumcari,35.1717,-103.725,6.91,36,0,3.6,US,"02/13/23,04:24:39"
188,gushikawa,26.3544,127.8686,24.79,78,20,7.72,JP,"02/13/23,04:24:40"
189,norfolk,42.1668,-71.2495,4.06,74,0,0.0,US,"02/13/23,04:21:38"
190,barabinsk,55.3571,78.357,-20.07,98,80,2.58,RU,"02/13/23,04:24:40"
191,yeppoon,-23.1333,150.7333,36.88,48,0,4.67,AU,"02/13/23,04:24:41"
192,puerto escondido,15.85,-97.0667,26.46,73,75,0.0,MX,"02/13/23,04:24:07"
193,nakhon thai,17.1006,100.8374,32.8,40,83,2.81,TH,"02/13/23,04:24:42"
194,nautla,20.2167,-96.7833,18.19,73,91,3.64,MX,"02/13/23,04:24:42"
195,nadvoitsy,63.8667,34.3167,-1.19,84,53,5.81,RU,"02/13/23,04:24:43"
196,kurilsk,45.2333,147.8833,-5.55,69,100,4.29,RU,"02/13/23,04:24:43"
197,palafrugell,41.9174,3.1631,2.01,78,0,2.38,ES,"02/13/23,04:24:44"
198,smithers,54.7804,-127.1743,2.18,80,40,2.06,CA,"02/13/23,04:20:43"
199,romans-sur-isere,45.0464,5.0562,4.36,71,0,0.54,FR,"02/13/23,04:24:45"
200,pedra azul,-16.0053,-41.2972,18.73,98,67,1.19,BR,"02/13/23,04:20:28"
201,ambilobe,-13.2,49.05,24.12,87,42,0.64,MG,"02/13/23,04:24:45"
202,bandiagara,14.3501,-3.6104,22.69,17,34,4.5,ML,"02/13/23,04:24:46"
203,nalut,30.3333,10.85,7.15,79,40,4.79,LY,"02/13/23,04:24:46"
204,fairbanks,64.8378,-147.7164,-15.22,85,100,2.06,US,"02/13/23,04:23:08"
205,tucurui,-3.7661,-49.6725,22.8,96,94,1.13,BR,"02/13/23,04:20:23"
206,hobyo,5.3505,48.5268,25.26,64,97,8.42,SO,"02/13/23,04:24:47"
207,foshan,23.0268,113.1315,26.02,68,72,3.49,CN,"02/13/23,04:24:48"
208,lebyazhye,55.2689,66.4947,-19.83,100,100,3.28,RU,"02/13/23,04:24:48"
209,chokurdakh,70.6333,147.9167,-39.14,100,93,0.65,RU,"02/13/23,04:24:20"
210,kruisfontein,-34.0033,24.7314,19.94,84,98,0.96,ZA,"02/13/23,04:24:49"
211,kantang,7.4054,99.5156,32.21,77,20,1.03,TH,"02/13/23,04:24:50"
212,cernavoda,44.3667,28.0167,-2.2,86,11,1.9,RO,"02/13/23,04:24:50"
213,gamboma,-1.8764,15.8644,22.84,77,93,1.18,CG,"02/13/23,04:24:50"
214,perth,-31.9333,115.8333,34.46,31,0,3.6,AU,"02/13/23,04:10:32"
215,taltal,-25.4,-70.4833,20.78,86,7,1.07,CL,"02/13/23,04:20:20"
216,shimoda,34.6667,138.95,10.2,93,100,6.83,JP,"02/13/23,04:24:51"
217,raychikhinsk,49.7838,129.4121,-14.28,88,100,2.74,RU,"02/13/23,04:24:52"
218,naze,28.3667,129.4833,21.51,86,78,11.99,JP,"02/13/23,04:24:52"
219,prince rupert,54.3161,-130.3201,5.05,93,100,3.09,CA,"02/13/23,04:21:49"
220,longyearbyen,78.2186,15.6401,-7.09,68,0,7.2,SJ,"02/13/23,04:24:53"
221,isangel,-19.55,169.2667,27.4,71,100,3.79,VU,"02/13/23,04:24:54"
222,hervey bay,-25.2986,152.8535,31.12,75,2,4.02,AU,"02/13/23,04:24:54"
223,whitehorse,60.7161,-135.0538,-2.57,100,100,2.06,CA,"02/13/23,04:24:55"
224,sitka,57.0531,-135.33,4.94,81,100,10.29,US,"02/13/23,04:24:55"
225,half moon bay,37.4636,-122.4286,12.95,74,0,6.17,US,"02/13/23,04:23:21"
226,buraydah,26.326,43.975,12.25,39,100,5.66,SA,"02/13/23,04:24:56"
227,oskarshamn,57.2645,16.4484,4.43,82,93,4.22,SE,"02/13/23,04:24:56"
228,baykalsk,51.5058,104.1469,-9.07,84,2,1.25,RU,"02/13/23,04:24:57"
229,cabo san lucas,22.8909,-109.9124,20.9,80,100,4.14,MX,"02/13/23,04:24:57"
230,bani,18.2833,-70.3333,21.39,75,1,3.15,DO,"02/13/23,04:24:58"
231,idar-oberstein,49.7,7.3,4.62,97,20,1.7,DE,"02/13/23,04:24:59"
232,hamilton,39.1834,-84.5333,5.99,47,0,2.57,US,"02/13/23,04:15:27"
233,itaituba,-4.2761,-55.9836,22.59,99,100,0.93,BR,"02/13/23,04:24:59"
234,bozhou,33.8772,115.7703,6.11,41,80,6.51,CN,"02/13/23,04:24:46"
235,bethel,41.3712,-73.414,5.2,56,0,1.54,US,"02/13/23,04:25:00"
236,dhrangadhra,22.9833,71.4667,21.76,19,0,3.57,IN,"02/13/23,04:25:01"
237,constitucion,-35.3333,-72.4167,14.18,82,0,2.54,CL,"02/13/23,04:25:01"
238,nara,34.6851,135.8049,11.39,53,100,2.67,JP,"02/13/23,04:25:02"
239,vryburg,-26.9566,24.7284,18.53,65,0,2.42,ZA,"02/13/23,04:25:03"
240,comodoro rivadavia,-45.8667,-67.5,13.92,35,0,7.2,AR,"02/13/23,04:25:03"
241,husavik,66.0449,-17.3389,7.4,78,100,11.38,IS,"02/13/23,04:25:04"
242,aginskoye,51.1,114.53,-8.98,63,0,6.63,RU,"02/13/23,04:25:05"
243,porto novo,6.4965,2.6036,26.9,91,27,2.16,BJ,"02/13/23,04:25:05"
244,cidreira,-30.1811,-50.2056,24.58,83,0,8.12,BR,"02/13/23,04:25:06"
245,guerrero negro,27.9769,-114.0611,14.24,56,9,4.28,MX,"02/13/23,04:25:06"
246,cayenne,4.9333,-52.3333,24.02,94,100,0.51,GF,"02/13/23,04:25:07"
247,karasjok,69.4719,25.5112,-0.67,83,100,12.1,NO,"02/13/23,04:25:08"
248,petropavlovsk-kamchatskiy,53.0452,158.6483,-7.67,38,0,1.0,RU,"02/13/23,04:21:22"
249,hambantota,6.1241,81.1185,27.19,78,40,3.6,LK,"02/13/23,04:25:08"
250,meleuz,52.9667,55.9167,-14.56,97,100,3.19,RU,"02/13/23,04:25:09"
251,khatanga,71.9667,102.5,-15.91,96,100,4.38,RU,"02/13/23,04:25:10"
252,grand-santi,4.25,-54.3833,22.48,100,89,0.87,GF,"02/13/23,04:25:10"
253,niihama,33.9593,133.3167,9.98,94,100,4.27,JP,"02/13/23,04:25:11"
254,avarua,-21.2078,-159.775,28.03,78,99,3.09,CK,"02/13/23,04:25:11"
255,port-gentil,-0.7193,8.7815,27.86,80,88,1.95,GA,"02/13/23,04:25:12"
256,lebu,-37.6167,-73.65,14.51,95,8,0.99,CL,"02/13/23,04:25:13"
257,la romana,18.4273,-68.9728,21.62,86,1,2.87,DO,"02/13/23,04:25:13"
258,zaysan,47.4667,84.8667,-11.87,81,44,0.83,KZ,"02/13/23,04:25:14"
259,shubarkuduk,49.1447,56.4872,-12.16,91,37,2.97,KZ,"02/13/23,04:25:14"
260,mahebourg,-20.4081,57.7,27.92,65,20,3.6,MU,"02/13/23,04:25:15"
261,namatanai,-3.6667,152.4333,27.61,80,99,3.03,PG,"02/13/23,04:25:16"
262,atyrau,47.1167,51.8833,-3.99,93,40,5.0,KZ,"02/13/23,04:25:16"
263,petlawad,23.0,74.8,19.11,19,1,5.36,IN,"02/13/23,04:25:17"
264,margate,51.3813,1.3862,6.5,78,0,0.89,GB,"02/13/23,04:25:17"
265,port hardy,50.6996,-127.4199,4.1,100,75,2.57,CA,"02/13/23,04:25:18"
266,shenjiamen,29.9576,122.298,8.31,89,100,10.4,CN,"02/13/23,04:25:18"
267,mandal,25.45,74.5667,16.62,14,0,2.11,IN,"02/13/23,04:25:19"
268,tongchuan,35.0806,109.0897,0.91,82,100,3.55,CN,"02/13/23,04:25:20"
269,cardonal,20.6,-99.1333,10.84,70,50,0.93,MX,"02/13/23,04:25:20"
270,mount gambier,-37.8333,140.7667,19.82,46,30,4.72,AU,"02/13/23,04:25:20"
271,bom despacho,-19.7364,-45.2522,19.05,91,52,1.33,BR,"02/13/23,04:25:21"
272,san patricio,28.017,-97.5169,14.91,64,82,3.52,US,"02/13/23,04:25:22"
273,caravelas,-17.7125,-39.2481,23.94,91,33,2.09,BR,"02/13/23,04:25:22"
274,richards bay,-28.783,32.0377,23.92,94,95,0.65,ZA,"02/13/23,04:25:23"
275,marzuq,14.4,46.4667,16.25,7,2,2.17,YE,"02/13/23,04:25:24"
276,qinhuangdao,39.9317,119.5883,2.3,24,30,5.34,CN,"02/13/23,04:25:24"
277,vestmannaeyjar,63.4427,-20.2734,8.6,91,100,15.61,IS,"02/13/23,04:25:25"
278,lorengau,-2.0226,147.2712,28.09,78,100,5.13,PG,"02/13/23,04:25:25"
279,domoni,-12.2569,44.5319,26.01,84,80,1.35,KM,"02/13/23,04:25:26"
280,sola,-13.8833,167.55,27.9,79,85,9.98,VU,"02/13/23,04:25:26"
281,tazmalt,36.3868,4.3989,5.75,84,0,0.45,DZ,"02/13/23,04:25:27"
282,cao bang,22.6667,106.25,23.89,75,93,1.03,VN,"02/13/23,04:25:28"
283,san ramon,37.7799,-121.978,12.5,76,0,2.06,US,"02/13/23,04:23:59"
284,chipata,-13.6333,32.65,16.19,96,100,1.43,ZM,"02/13/23,04:25:29"
285,barentu,15.1139,37.5928,17.99,89,1,2.16,ER,"02/13/23,04:25:30"
286,miki,34.8,134.9833,10.79,81,100,6.07,JP,"02/13/23,04:25:30"
287,presidente medici,-11.1753,-61.9014,22.81,97,79,1.56,BR,"02/13/23,04:25:31"
288,kochubey,44.3861,46.5825,-3.28,96,100,2.08,RU,"02/13/23,04:25:31"
289,eenhana,-17.4667,16.3333,22.34,41,91,2.12,NA,"02/13/23,04:25:32"
290,bambous virieux,-20.3428,57.7575,27.9,65,20,3.6,MU,"02/13/23,04:25:32"
291,tuatapere,-46.1333,167.6833,20.44,61,28,4.08,NZ,"02/13/23,04:25:33"
292,carnarvon,-24.8667,113.6333,30.48,54,0,6.24,AU,"02/13/23,04:25:34"
293,sakakah,29.9697,40.2064,7.76,48,100,3.38,SA,"02/13/23,04:24:29"
